run_id,round,n_presented,challenger_id,pool_before,pool_after,presentation_order,ranking,discarded_id,discarded_position,discarded_was_challenger,top_id,top_changed,sel_prompt_tokens,sel_completion_tokens,sel_reasoning_tokens,latency_seconds,cached,parse_status,parse_retries,raw_response
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,1,2,c001,c000,c000,c000;c001,c000;c001,c001,2,true,c000,true,946,13,0,1.017,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,1,2,c001,c000,c001,c001;c000,c001;c000,c000,2,false,c001,true,929,14,0,0.628,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,1,2,c001,c000,c001,c001;c000,c001;c000,c000,2,false,c001,true,922,14,0,0.75,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,1,2,c001,c000,c000,c001;c000,c000;c001,c001,1,true,c000,true,948,13,0,0.768,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,1,2,c001,c000,c000,c001;c000,c000;c001,c001,1,true,c000,true,905,13,0,0.704,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,1,2,c001,c000,c000,c000;c001,c000;c001,c001,2,true,c000,true,936,14,0,0.779,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,1,2,c001,c000,c000,c001;c000,c000;c001,c001,1,true,c000,true,878,13,0,0.626,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,1,3,c002,c000;c001,c001;c002,c002;c001;c000,c001;c002;c000,c000,3,false,c001,true,1127,17,0,0.714,false,ok,0,"RANKING: 2, 1, 3 DISCARD: 3"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,1,2,c001,c000,c000,c001;c000,c000;c001,c001,1,true,c000,true,953,13,0,0.85,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,1,3,c002,c000;c001,c001;c002,c002;c000;c001,c002;c001;c000,c000,2,false,c002,true,1216,17,0,0.731,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,1,2,c001,c000,c001,c001;c000,c001;c000,c000,2,false,c001,true,951,14,0,0.585,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,1,3,c002,c000;c001,c001;c002,c002;c000;c001,c002;c001;c000,c000,2,false,c002,true,1228,17,0,0.87,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,2,2,c002,c001,c001,c001;c002,c001;c002,c002,2,true,c001,false,898,14,0,0.743,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,1,2,c001,c000,c000,c001;c000,c000;c001,c001,1,true,c000,true,936,13,0,0.852,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,2,2,c002,c001,c001,c002;c001,c001;c002,c002,1,true,c001,false,919,14,0,0.653,false,ok,0,"RANKING: 2, 1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,2,2,c002,c000,c000,c000;c002,c000;c002,c002,2,true,c000,false,690,13,0,0.737,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,2,2,c002,c000,c000,c002;c000,c000;c002,c002,1,true,c000,false,942,13,0,0.712,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,1,3,c002,c000;c001,c000;c002,c001;c000;c002,c000;c002;c001,c001,1,false,c000,true,1242,15,0,0.632,false,ok,0,"RANKING: 2,3,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s2,1,3,c002,c000;c001,c000;c002,c000;c002;c001,c000;c002;c001,c001,3,false,c000,true,1196,17,0,0.628,false,ok,0,"RANKING: 1, 2, 3 DISCARD: 3"
