run_id,timestamp_utc,problem_id,method_name,arm,pool_size,n_rounds,rounds_completed,seed,model_name,judge_model,temperature,sighted_cap,n_generated,n_survivors,final_candidate_id,gen_prompt_tokens,gen_completion_tokens,sel_prompt_tokens,sel_completion_tokens,total_reasoning_tokens,total_tokens,total_wall_seconds,n_api_calls,n_cached_calls,n_parse_failures,n_short_generations,n_challenger_discarded,gen_prompt_sha,sel_prompt_sha,git_commit,notes
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:14:24+00:00,mars_boot,blind_n1,blind,1,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c006,3218,3356,9028,136,0,15738,96.78,22,0,0,1,7,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:14:27+00:00,mars_boot,blind_n1,blind,1,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c008,3208,3248,9261,133,0,15850,100.16,22,0,0,1,7,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:28+00:00,mars_boot,sighted_n1,sighted,1,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c000,6200,3438,9253,134,0,19025,101.21,21,0,0,0,10,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:14:30+00:00,mars_boot,blind_n1,blind,1,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c000,2942,3210,9467,132,0,15751,102.82,21,0,0,0,10,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:14:35+00:00,mars_boot,blind_n2,blind,2,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c009,3515,3756,12256,162,0,19689,107.62,23,0,0,1,4,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:14:35+00:00,mars_boot,blind_n2,blind,2,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c005,3496,3812,12158,164,0,19630,107.68,23,0,0,1,4,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:14:36+00:00,mars_boot,blind_n2,blind,2,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c001,3496,3450,11496,158,0,18600,109.29,23,0,0,1,8,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:38+00:00,mars_boot,sighted_n2,sighted,2,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c000,13008,3828,12307,164,0,29307,110.91,25,0,0,4,10,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:40+00:00,mars_boot,blind_n1,blind,1,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c010,2937,3312,9070,132,0,15451,113.13,21,0,0,0,7,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:14:41+00:00,mars_boot,sighted_n1,sighted,1,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c006,6613,3838,9739,134,0,20324,114.18,21,0,0,0,8,fbe21666073d,f34a41eb5d7b,a5582c9,
