run_id,timestamp_utc,problem_id,method_name,arm,pool_size,n_rounds,rounds_completed,seed,model_name,judge_model,temperature,sighted_cap,n_generated,n_survivors,final_candidate_id,gen_prompt_tokens,gen_completion_tokens,sel_prompt_tokens,sel_completion_tokens,total_reasoning_tokens,total_tokens,total_wall_seconds,n_api_calls,n_cached_calls,n_parse_failures,n_short_generations,n_challenger_discarded,gen_prompt_sha,sel_prompt_sha,git_commit,notes
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:35:03+00:00,mars_boot,blind_n1,blind,1,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c001,2321,3493,8975,169,0,14958,121.53,21,0,0,0,9,1c644e8cf2ec,f34a41eb5d7b,b57bc2e,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:35:19+00:00,mars_boot,blind_n1,blind,1,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c008,2488,3429,9067,169,0,15153,136.96,22,0,0,1,5,1c644e8cf2ec,f34a41eb5d7b,b57bc2e,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:35:25+00:00,mars_boot,blind_n1,blind,1,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c007,2488,3469,9257,170,0,15384,143.31,22,0,0,1,5,1c644e8cf2ec,f34a41eb5d7b,b57bc2e,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:35:27+00:00,mars_boot,blind_n2,blind,2,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c008,2484,3689,12230,200,0,18603,145.76,22,0,0,0,4,1c644e8cf2ec,f34a41eb5d7b,b57bc2e,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:35:32+00:00,mars_boot,blind_n1,blind,1,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c010,2710,3523,9223,170,0,15626,150.31,23,0,0,2,3,1c644e8cf2ec,f34a41eb5d7b,b57bc2e,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:35:56+00:00,mars_boot,blind_n1,blind,1,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c010,2281,3305,8964,169,0,14719,173.91,21,0,0,0,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:37:24+00:00,mars_boot,blind_n2,blind,2,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c010,2917,3767,12197,199,0,19080,140.94,24,0,0,2,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:37:30+00:00,mars_boot,blind_n2,blind,2,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c007,2495,3701,11922,198,0,18316,122.65,22,0,0,0,4,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:37:35+00:00,mars_boot,blind_n2,blind,2,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c011,2725,3665,12037,199,0,18626,129.88,23,0,0,1,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:37:35+00:00,mars_boot,blind_n2,blind,2,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c010,2695,3959,12215,199,0,19068,136.3,23,0,0,1,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:39:14+00:00,mars_boot,blind_n3,blind,3,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c012,3121,3874,14986,229,0,22210,198.41,25,0,0,3,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:40:51+00:00,mars_boot,blind_n3,blind,3,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c007,3328,3814,14572,230,0,21944,4.59,26,25,0,3,5,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:40:52+00:00,mars_boot,blind_n5,blind,5,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c006,3738,4617,20754,283,0,29392,5.78,28,27,0,3,2,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:41:00+00:00,mars_boot,blind_n3,blind,3,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c001,3124,4211,15200,226,0,22761,13.63,25,23,0,2,7,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:41:25+00:00,mars_boot,blind_n3,blind,3,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c006,2746,4219,15186,229,0,22380,38.75,23,19,0,0,2,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:42:08+00:00,mars_boot,blind_n3,blind,3,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c012,3128,4216,15121,227,0,22692,81.62,25,16,0,2,4,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:42:41+00:00,mars_boot,sighted_n1,sighted,1,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c001,5981,3681,9513,170,0,19345,114.39,21,0,0,0,9,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:42:56+00:00,mars_boot,sighted_n1,sighted,1,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c010,6645,3603,9520,169,0,19937,129.94,22,0,0,1,5,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:43:06+00:00,mars_boot,blind_n5,blind,5,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c001,3771,4922,21201,290,0,30184,139.89,28,7,0,3,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:43:13+00:00,mars_boot,sighted_n1,sighted,1,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c010,6054,3702,9418,170,0,19344,146.61,21,0,0,0,7,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
